timestep,average_temperature
0.0,20.0
24.161073825503355,25.87472857356715
48.32214765100671,31.660901189568353
72.48322147651007,37.35987362929408
96.64429530201342,42.97297975853357
120.80536912751677,48.50153279110751
144.96644295302013,53.94682564131508
169.12751677852347,59.310130952694735
193.28859060402684,64.59270144012383
217.4496644295302,69.79576941039018
241.61073825503354,74.92054822214439
265.7718120805369,79.96823267389618
289.93288590604027,84.93999900401428
314.09395973154363,89.83700505221744
338.25503355704694,94.66039036663186
362.4161073825503,99.41127594418207
386.5771812080537,104.09076586064708
410.73825503355704,108.6999473951254
434.8993288590604,113.23989103003493
459.0604026845637,117.71165049544997
483.2214765100671,122.1162632585526
507.38255033557044,126.45474952465179
531.5436241610738,130.72811393326216
555.7046979865771,134.93734606173047
579.8657718120805,139.0834204252354
604.0268456375838,143.16729647678764
628.1879194630873,147.18991869605102
652.3489932885906,151.15221704485336
676.5100671140939,155.0551058271374
700.6711409395973,158.8994855591178
724.8322147651006,162.68624336288133
748.993288590604,166.41625296638645
773.1543624161073,170.09037470346368
797.3154362416107,173.7094555138153
821.4765100671141,177.27432943489006
845.6375838926174,180.785816864197
869.7986577181208,184.24472494766104
893.9597315436241,187.6518490081472
918.1208053691274,191.00797255227633
942.2818791946308,194.31386727042562
966.4429530201342,197.5702930367282
990.6040268456376,200.77799790907358
1014.7651006711409,203.93771865354947
1038.9261744966443,207.05017992917328
1063.0872483221476,210.11609457849417
1087.248322147651,213.13616509372838
1111.4093959731542,216.11108362351717
1135.5704697986578,219.04153197292666
1159.731543624161,221.92818160344768
1183.8926174496644,224.7716936329961
1208.0536912751677,227.5727189475579
1232.214765100671,230.33189873173973
1256.3758389261745,233.04986285410328
1280.5369127516778,235.7272317732048
1304.6979865771812,238.36461696248816
1328.8590604026845,240.96262091028535
1353.0201342281878,243.52183711981579
1377.1812080536913,246.04285010918665
1401.3422818791946,248.52623541139283
1425.503355704698,250.97255965076295
1449.6644295302012,253.38238118091695
1473.8255033557045,255.75624832836664
1497.986577181208,258.0947011294573
1522.1476510067114,260.39827187522116
1546.3087248322147,262.66748511137735
1570.469798657718,264.90285763833134
1594.6308724832213,267.1048985111755
1618.7919463087248,269.274109039689
1642.9530201342282,271.4109827883375
1667.1140939597315,273.51600592323723
1691.2751677852348,275.58965703821895
1715.436241610738,277.6324061570102
1739.5973154362416,279.6447165846437
1763.758389261745,281.62704500103166
1787.9194630872482,283.5798414609672
1812.0805369127515,285.50354939412296
1836.2416107382548,287.39860560505207
1860.4026845637584,289.26544027318766
1884.5637583892617,291.1044769528432
1908.724832214765,292.91613278592905
1932.8859060402683,294.70081875821177
1957.0469798657716,296.4589381507541
1981.2080536912752,298.1908883968115
2005.3691275167785,299.89706130694475
2029.5302013422818,301.5778430690195
2053.691275167785,303.2336142482063
2077.8523489932886,304.8647497869808
2102.0134228187917,306.47161900512344
2126.1744966442952,308.05458559972
2150.3355704697988,309.6140076451608
2174.496644295302,311.15023804072086
2198.6577181208054,312.6636239579614
2222.8187919463085,314.1545062360447
2246.979865771812,315.6232209483713
2271.1409395973155,317.0700994343316
2295.3020134228186,318.4954682993058
2319.463087248322,319.8996494146646
2343.6241610738252,321.28295991776815
2367.7852348993288,322.6457122119668
2391.9463087248323,323.9882139666007
2416.1073825503354,325.3107681170004
2440.268456375839,326.6136730628806
2464.429530201342,327.89722292254186
2488.5906040268455,329.16170597841744
2512.751677852349,330.40740634741087
2536.912751677852,331.6346041930784
2561.0738255033557,332.84357572562936
2585.234899328859,334.03459320192616
2609.3959731543623,335.2079249254844
2633.557046979866,336.3638352464722
2657.718120805369,337.5025845617111
2681.8791946308725,338.6244293146755
2706.0402684563755,339.7296219954928
2730.201342281879,340.8184114270362
2754.3624161073826,341.8910426935258
2778.5234899328857,342.94775595523805
2802.6845637583892,343.9887879993724
2826.8456375838923,345.0143723393801
2851.006711409396,346.02473921496346
2875.1677852348994,347.020115592077
2899.3288590604025,348.00072516292647
2923.489932885906,348.96678834596895
2947.651006711409,349.91852228591375
2971.8120805369126,350.85614085372123
2995.973154362416,351.77985464660344
3020.1342281879192,352.68987101569195
3044.2953020134228,353.58639468762846
3068.456375838926,354.46962619423624
3092.6174496644294,355.33976278483584
3116.778523489933,356.1969990213258
3140.939597315436,357.04152677818206
3165.1006711409395,357.87353524245884
3189.2617449664426,358.6932109137872
3213.422818791946,359.5007376043772
3237.5838926174497,360.29629643901586
3261.744966442953,361.0800658550679
3285.9060402684563,361.8522216024764
3310.0671140939594,362.6129367437614
3334.228187919463,363.36238165667044
3358.3892617449665,364.1007241474595
3382.5503355704695,364.8281290387859
3406.711409395973,365.544758647161
3430.872483221476,366.25077303854596
3455.0335570469797,366.94633002835104
3479.1946308724832,367.6315851814367
3503.3557046979863,368.30669181211226
3527.51677852349,368.9718009841373
3551.677852348993,369.6270615107207
3575.8389261744965,370.272619954521
3600.0,370.9086206276459
