timestep,average_temperature
0.0,20.0
24.161073825503355,23.000024378083147
48.32214765100671,25.960341081073278
72.48322147651007,28.881713343031134
96.64429530201342,31.76489636558249
120.80536912751677,34.61063785487975
144.96644295302013,37.41967836742158
169.12751677852347,40.19275134388852
193.28859060402684,42.93058333188663
217.4496644295302,45.633894039274445
241.61073825503354,48.303397073367705
265.7718120805369,50.93980004739418
289.93288590604027,53.54380463088966
314.09395973154363,56.11610681869052
338.25503355704694,58.657396923017906
362.4161073825503,61.168360389052616
386.5771812080537,63.64967790294933
410.73825503355704,66.10202539639111
434.8993288590604,68.52607438876426
459.0604026845637,70.92249185674277
483.2214765100671,73.29194097220142
507.38255033557044,75.63508146835645
531.5436241610738,77.95256963976544
555.7046979865771,80.24505842479101
579.8657718120805,82.51319780485547
604.0268456375838,84.75763465635124
628.1879194630873,86.97901370679607
652.3489932885906,89.17797765922745
676.5100671140939,91.355167192203
700.6711409395973,93.51122110686362
724.8322147651006,95.64677674621784
748.993288590604,97.76246987144555
773.1543624161073,99.85893566158698
797.3154362416107,101.93680879487215
821.4765100671141,103.99672344872089
845.6375838926174,106.03931343288325
869.7986577181208,108.06521275270762
893.9597315436241,110.07505534402686
918.1208053691274,112.06947616901395
942.2818791946308,114.04911134409909
966.4429530201342,116.0145981399695
990.6040268456376,117.9665750417433
1014.7651006711409,119.90568249577174
1038.9261744966443,121.832562513741
1063.0872483221476,123.74785977453828
1087.248322147651,125.65222192550944
1111.4093959731542,127.54629958245849
1135.5704697986578,129.4307463317937
1159.731543624161,131.30621945371453
1183.8926174496644,133.1733798133159
1208.0536912751677,135.03289254246417
1232.214765100671,136.8854277481743
1256.3758389261745,138.73166051260984
1280.5369127516778,140.57227089308293
1304.6979865771812,142.4079443379946
1328.8590604026845,144.2393723430818
1353.0201342281878,146.06725231099466
1377.1812080536913,147.8922888137576
1401.3422818791946,149.71519363661642
1425.503355704698,151.5366857780384
1449.6644295302012,153.35749162425836
1473.8255033557045,155.17834609627414
1497.986577181208,156.99999211335256
1522.1476510067114,158.82318207192338
1546.3087248322147,160.64867809557342
1570.469798657718,162.47725203504663
1594.6308724832213,164.30968550746368
1618.7919463087248,166.14677117176856
1642.9530201342282,167.98931235750106
1667.1140939597315,169.8381243180759
1691.2751677852348,171.69403487412873
1715.436241610738,173.5578844135161
1739.5973154362416,175.43052589134714
1763.758389261745,177.31282593456132
1787.9194630872482,179.20566512097065
1812.0805369127515,181.10993863374904
1836.2416107382548,183.0265574459061
1860.4026845637584,184.9564483202865
1884.5637583892617,186.90055380957043
1908.724832214765,188.8598331628314
1932.8859060402683,190.83526327433532
1957.0469798657716,192.8278388116634
1981.2080536912752,194.8385738811318
2005.3691275167785,196.86850204720105
2029.5302013422818,198.91867633247597
2053.691275167785,200.99017008771617
2077.8523489932886,203.08407834006164
2102.0134228187917,205.2015177332402
2126.1744966442952,207.3436285068771
2150.3355704697988,209.51157454337095
2174.496644295302,211.70654336789303
2198.6577181208054,213.92974717135937
2222.8187919463085,216.18242431428644
2246.979865771812,218.46583937641705
2271.1409395973155,220.78128531753904
2295.3020134228186,223.13008352022558
2319.463087248322,225.5135837898352
2343.6241610738252,227.93316582248437
2367.7852348993288,230.39024047771326
2391.9463087248323,232.8862503844606
2416.1073825503354,235.42267204976977
2440.268456375839,238.00101586751978
2464.429530201342,240.6228261376511
2488.5906040268455,243.28968342463318
2512.751677852349,246.00320491516422
2536.912751677852,248.76504634838454
2561.0738255033557,251.57690359794964
2585.234899328859,254.44051267202977
2609.3959731543623,257.35764997355784
2633.557046979866,260.33013553078933
2657.718120805369,263.35983254277625
2681.8791946308725,266.4486506492495
2706.0402684563755,269.5985467678363
2730.201342281879,272.81152509405985
2754.3624161073826,276.0896382263002
2778.5234899328857,279.43499042142156
2802.6845637583892,282.8497374829697
2826.8456375838923,286.33609046153384
2851.006711409396,289.896315850986
2875.1677852348994,293.5327356175865
2899.3288590604025,297.24773054518084
2923.489932885906,301.0437410872484
2947.651006711409,304.9232703029739
2971.8120805369126,308.88888602471565
2995.973154362416,312.943220858004
3020.1342281879192,317.08897315453146
3044.2953020134228,321.3289115657243
3068.456375838926,325.6658748503359
3092.6174496644294,330.10277672991583
3116.778523489933,334.6426063544649
3140.939597315436,339.2884283563175
3165.1006711409395,344.0433871912655
3189.2617449664426,348.91070830125483
3213.422818791946,353.8937021760054
3237.5838926174497,358.9957668960672
3261.744966442953,364.2203881328208
3285.9060402684563,369.57114113210514
3310.0671140939594,375.05169595447694
3334.228187919463,380.665818224527
3358.3892617449665,386.4173748069973
3382.5503355704695,392.31033403217424
3406.711409395973,398.348766324778
3430.872483221476,404.5368508485736
3455.0335570469797,410.87887578005103
3479.1946308724832,417.3792451830331
3503.3557046979863,424.0424804056871
3527.51677852349,430.8732201233023
3551.677852348993,437.8762256955712
3575.8389261744965,445.056386774185
3600.0,452.418722923659
